geoName,troubled
Alabama,67
Alaska,49
Arizona,65
Arkansas,67
California,57
Colorado,61
Connecticut,65
Delaware,43
District of Columbia,66
Florida,56
Georgia,72
Hawaii,62
Idaho,58
Illinois,59
Indiana,61
Iowa,68
Kansas,51
Kentucky,77
Louisiana,71
Maine,61
Maryland,66
Massachusetts,85
Michigan,62
Minnesota,64
Mississippi,84
Missouri,66
Montana,90
Nebraska,47
Nevada,45
New Hampshire,66
New Jersey,55
New Mexico,67
New York,68
North Carolina,77
North Dakota,40
Ohio,57
Oklahoma,69
Oregon,69
Pennsylvania,67
Rhode Island,74
South Carolina,78
South Dakota,43
Tennessee,70
Texas,63
Utah,100
Vermont,87
Virginia,69
Washington,60
West Virginia,58
Wisconsin,56
Wyoming,90
