date,troubled,isPartial
2013-01-06,52,False
2013-01-13,68,False
2013-01-20,61,False
2013-01-27,54,False
2013-02-03,47,False
2013-02-10,58,False
2013-02-17,55,False
2013-02-24,55,False
2013-03-03,71,False
2013-03-10,55,False
2013-03-17,51,False
2013-03-24,49,False
2013-03-31,52,False
2013-04-07,51,False
2013-04-14,73,False
2013-04-21,63,False
2013-04-28,50,False
2013-05-05,57,False
2013-05-12,52,False
2013-05-19,50,False
2013-05-26,47,False
2013-06-02,50,False
2013-06-09,50,False
2013-06-16,43,False
2013-06-23,45,False
2013-06-30,39,False
2013-07-07,48,False
2013-07-14,49,False
2013-07-21,51,False
2013-07-28,45,False
2013-08-04,40,False
2013-08-11,39,False
2013-08-18,41,False
2013-08-25,40,False
2013-09-01,41,False
2013-09-08,44,False
2013-09-15,48,False
2013-09-22,47,False
2013-09-29,46,False
2013-10-06,47,False
2013-10-13,52,False
2013-10-20,53,False
2013-10-27,55,False
2013-11-03,53,False
2013-11-10,51,False
2013-11-17,55,False
2013-11-24,49,False
2013-12-01,43,False
2013-12-08,100,False
2013-12-15,57,False
2013-12-22,35,False
2013-12-29,39,False
