geoName,troubled
Alabama,77
Alaska,70
Arizona,53
Arkansas,73
California,50
Colorado,57
Connecticut,56
Delaware,58
District of Columbia,54
Florida,52
Georgia,62
Hawaii,40
Idaho,53
Illinois,59
Indiana,64
Iowa,71
Kansas,53
Kentucky,76
Louisiana,86
Maine,81
Maryland,56
Massachusetts,72
Michigan,57
Minnesota,50
Mississippi,100
Missouri,67
Montana,65
Nebraska,55
Nevada,52
New Hampshire,83
New Jersey,58
New Mexico,82
New York,51
North Carolina,67
North Dakota,33
Ohio,59
Oklahoma,57
Oregon,41
Pennsylvania,63
Rhode Island,71
South Carolina,56
South Dakota,68
Tennessee,70
Texas,61
Utah,61
Vermont,45
Virginia,43
Washington,54
West Virginia,75
Wisconsin,53
Wyoming,86
