geoName,breakdown
Alabama,89
Alaska,69
Arizona,72
Arkansas,81
California,76
Colorado,70
Connecticut,74
Delaware,83
District of Columbia,76
Florida,70
Georgia,71
Hawaii,70
Idaho,75
Illinois,67
Indiana,86
Iowa,83
Kansas,81
Kentucky,91
Louisiana,69
Maine,78
Maryland,77
Massachusetts,77
Michigan,68
Minnesota,79
Mississippi,77
Missouri,82
Montana,81
Nebraska,79
Nevada,66
New Hampshire,95
New Jersey,83
New Mexico,87
New York,74
North Carolina,80
North Dakota,82
Ohio,81
Oklahoma,100
Oregon,76
Pennsylvania,87
Rhode Island,91
South Carolina,89
South Dakota,78
Tennessee,77
Texas,70
Utah,85
Vermont,89
Virginia,84
Washington,72
West Virginia,68
Wisconsin,76
Wyoming,83
