geoName,breakdown
Alabama,94
Alaska,97
Arizona,75
Arkansas,98
California,82
Colorado,73
Connecticut,76
Delaware,73
District of Columbia,100
Florida,71
Georgia,75
Hawaii,83
Idaho,84
Illinois,76
Indiana,90
Iowa,85
Kansas,77
Kentucky,88
Louisiana,80
Maine,95
Maryland,83
Massachusetts,81
Michigan,81
Minnesota,85
Mississippi,81
Missouri,81
Montana,93
Nebraska,80
Nevada,75
New Hampshire,81
New Jersey,77
New Mexico,84
New York,83
North Carolina,81
North Dakota,95
Ohio,91
Oklahoma,82
Oregon,53
Pennsylvania,83
Rhode Island,85
South Carolina,85
South Dakota,84
Tennessee,86
Texas,70
Utah,81
Vermont,90
Virginia,90
Washington,78
West Virginia,94
Wisconsin,75
Wyoming,76
