date,breakdown,isPartial
2012-01-01,53,False
2012-01-08,55,False
2012-01-15,53,False
2012-01-22,57,False
2012-01-29,63,False
2012-02-05,66,False
2012-02-12,62,False
2012-02-19,62,False
2012-02-26,56,False
2012-03-04,61,False
2012-03-11,66,False
2012-03-18,69,False
2012-03-25,81,False
2012-04-01,65,False
2012-04-08,64,False
2012-04-15,62,False
2012-04-22,59,False
2012-04-29,61,False
2012-05-06,59,False
2012-05-13,57,False
2012-05-20,51,False
2012-05-27,54,False
2012-06-03,56,False
2012-06-10,51,False
2012-06-17,58,False
2012-06-24,55,False
2012-07-01,54,False
2012-07-08,55,False
2012-07-15,53,False
2012-07-22,61,False
2012-07-29,63,False
2012-08-05,55,False
2012-08-12,53,False
2012-08-19,52,False
2012-08-26,56,False
2012-09-02,57,False
2012-09-09,63,False
2012-09-16,67,False
2012-09-23,66,False
2012-09-30,72,False
2012-10-07,73,False
2012-10-14,63,False
2012-10-21,65,False
2012-10-28,63,False
2012-11-04,100,False
2012-11-11,69,False
2012-11-18,50,False
2012-11-25,62,False
2012-12-02,62,False
2012-12-09,58,False
2012-12-16,51,False
2012-12-23,41,False
2012-12-30,58,False
