geoName,breakdown
Alabama,81
Alaska,74
Arizona,74
Arkansas,80
California,76
Colorado,78
Connecticut,87
Delaware,73
District of Columbia,78
Florida,67
Georgia,74
Hawaii,70
Idaho,81
Illinois,75
Indiana,83
Iowa,73
Kansas,68
Kentucky,80
Louisiana,79
Maine,95
Maryland,81
Massachusetts,80
Michigan,72
Minnesota,82
Mississippi,86
Missouri,79
Montana,88
Nebraska,81
Nevada,66
New Hampshire,97
New Jersey,74
New Mexico,68
New York,82
North Carolina,79
North Dakota,81
Ohio,75
Oklahoma,89
Oregon,77
Pennsylvania,85
Rhode Island,77
South Carolina,78
South Dakota,74
Tennessee,74
Texas,67
Utah,80
Vermont,100
Virginia,83
Washington,72
West Virginia,81
Wisconsin,77
Wyoming,59
