geoName,breakdown
Alabama,87
Alaska,88
Arizona,71
Arkansas,79
California,76
Colorado,69
Connecticut,77
Delaware,71
District of Columbia,79
Florida,73
Georgia,74
Hawaii,68
Idaho,90
Illinois,76
Indiana,85
Iowa,82
Kansas,71
Kentucky,80
Louisiana,78
Maine,95
Maryland,78
Massachusetts,77
Michigan,75
Minnesota,78
Mississippi,85
Missouri,77
Montana,83
Nebraska,83
Nevada,65
New Hampshire,78
New Jersey,77
New Mexico,88
New York,75
North Carolina,80
North Dakota,90
Ohio,81
Oklahoma,80
Oregon,49
Pennsylvania,82
Rhode Island,91
South Carolina,71
South Dakota,96
Tennessee,79
Texas,70
Utah,83
Vermont,100
Virginia,62
Washington,72
West Virginia,81
Wisconsin,78
Wyoming,71
