date,breakdown,isPartial
2013-01-06,67,False
2013-01-13,72,False
2013-01-20,72,False
2013-01-27,78,False
2013-02-03,75,False
2013-02-10,69,False
2013-02-17,73,False
2013-02-24,79,False
2013-03-03,72,False
2013-03-10,79,False
2013-03-17,79,False
2013-03-24,70,False
2013-03-31,72,False
2013-04-07,74,False
2013-04-14,71,False
2013-04-21,75,False
2013-04-28,76,False
2013-05-05,74,False
2013-05-12,81,False
2013-05-19,66,False
2013-05-26,70,False
2013-06-02,61,False
2013-06-09,64,False
2013-06-16,68,False
2013-06-23,67,False
2013-06-30,61,False
2013-07-07,65,False
2013-07-14,64,False
2013-07-21,69,False
2013-07-28,63,False
2013-08-04,69,False
2013-08-11,62,False
2013-08-18,64,False
2013-08-25,67,False
2013-09-01,74,False
2013-09-08,77,False
2013-09-15,74,False
2013-09-22,100,False
2013-09-29,79,False
2013-10-06,84,False
2013-10-13,76,False
2013-10-20,81,False
2013-10-27,78,False
2013-11-03,77,False
2013-11-10,81,False
2013-11-17,81,False
2013-11-24,61,False
2013-12-01,79,False
2013-12-08,75,False
2013-12-15,75,False
2013-12-22,53,False
2013-12-29,63,False
