geoName,breakdown
Alabama,93
Alaska,86
Arizona,74
Arkansas,93
California,80
Colorado,74
Connecticut,91
Delaware,63
District of Columbia,67
Florida,77
Georgia,79
Hawaii,75
Idaho,84
Illinois,75
Indiana,98
Iowa,78
Kansas,83
Kentucky,84
Louisiana,87
Maine,92
Maryland,84
Massachusetts,80
Michigan,78
Minnesota,87
Mississippi,82
Missouri,90
Montana,77
Nebraska,63
Nevada,76
New Hampshire,88
New Jersey,82
New Mexico,74
New York,77
North Carolina,86
North Dakota,86
Ohio,87
Oklahoma,87
Oregon,79
Pennsylvania,89
Rhode Island,82
South Carolina,100
South Dakota,91
Tennessee,82
Texas,70
Utah,85
Vermont,70
Virginia,90
Washington,78
West Virginia,77
Wisconsin,81
Wyoming,79
