date,breakdown,isPartial
2016-01-03,47,False
2016-01-10,55,False
2016-01-17,47,False
2016-01-24,57,False
2016-01-31,54,False
2016-02-07,55,False
2016-02-14,52,False
2016-02-21,58,False
2016-02-28,59,False
2016-03-06,57,False
2016-03-13,58,False
2016-03-20,53,False
2016-03-27,52,False
2016-04-03,55,False
2016-04-10,57,False
2016-04-17,54,False
2016-04-24,55,False
2016-05-01,55,False
2016-05-08,49,False
2016-05-15,52,False
2016-05-22,45,False
2016-05-29,45,False
2016-06-05,44,False
2016-06-12,44,False
2016-06-19,48,False
2016-06-26,46,False
2016-07-03,46,False
2016-07-10,47,False
2016-07-17,47,False
2016-07-24,46,False
2016-07-31,46,False
2016-08-07,43,False
2016-08-14,44,False
2016-08-21,45,False
2016-08-28,48,False
2016-09-04,47,False
2016-09-11,51,False
2016-09-18,52,False
2016-09-25,52,False
2016-10-02,50,False
2016-10-09,53,False
2016-10-16,57,False
2016-10-23,56,False
2016-10-30,55,False
2016-11-06,100,False
2016-11-13,60,False
2016-11-20,58,False
2016-11-27,58,False
2016-12-04,54,False
2016-12-11,53,False
2016-12-18,45,False
2016-12-25,39,False
