date,seriousness,isPartial
2016-01-03,55,False
2016-01-10,63,False
2016-01-17,80,False
2016-01-24,34,False
2016-01-31,94,False
2016-02-07,56,False
2016-02-14,71,False
2016-02-21,100,False
2016-02-28,58,False
2016-03-06,74,False
2016-03-13,52,False
2016-03-20,70,False
2016-03-27,45,False
2016-04-03,60,False
2016-04-10,75,False
2016-04-17,64,False
2016-04-24,78,False
2016-05-01,78,False
2016-05-08,50,False
2016-05-15,61,False
2016-05-22,63,False
2016-05-29,48,False
2016-06-05,51,False
2016-06-12,39,False
2016-06-19,48,False
2016-06-26,48,False
2016-07-03,42,False
2016-07-10,36,False
2016-07-17,57,False
2016-07-24,64,False
2016-07-31,44,False
2016-08-07,38,False
2016-08-14,47,False
2016-08-21,70,False
2016-08-28,58,False
2016-09-04,78,False
2016-09-11,80,False
2016-09-18,82,False
2016-09-25,38,False
2016-10-02,79,False
2016-10-09,69,False
2016-10-16,61,False
2016-10-23,83,False
2016-10-30,71,False
2016-11-06,49,False
2016-11-13,100,False
2016-11-20,38,False
2016-11-27,76,False
2016-12-04,92,False
2016-12-11,74,False
2016-12-18,42,False
2016-12-25,20,False
