date,seriousness,isPartial
2011-01-02,52,False
2011-01-09,45,False
2011-01-16,44,False
2011-01-23,31,False
2011-01-30,72,False
2011-02-06,37,False
2011-02-13,44,False
2011-02-20,51,False
2011-02-27,55,False
2011-03-06,67,False
2011-03-13,52,False
2011-03-20,74,False
2011-03-27,61,False
2011-04-03,43,False
2011-04-10,49,False
2011-04-17,63,False
2011-04-24,43,False
2011-05-01,37,False
2011-05-08,81,False
2011-05-15,62,False
2011-05-22,19,False
2011-05-29,33,False
2011-06-05,63,False
2011-06-12,38,False
2011-06-19,31,False
2011-06-26,32,False
2011-07-03,26,False
2011-07-10,31,False
2011-07-17,49,False
2011-07-24,60,False
2011-07-31,18,False
2011-08-07,24,False
2011-08-14,48,False
2011-08-21,29,False
2011-08-28,100,False
2011-09-04,35,False
2011-09-11,62,False
2011-09-18,50,False
2011-09-25,39,False
2011-10-02,73,False
2011-10-09,55,False
2011-10-16,72,False
2011-10-23,49,False
2011-10-30,67,False
2011-11-06,43,False
2011-11-13,53,False
2011-11-20,28,False
2011-11-27,72,False
2011-12-04,41,False
2011-12-11,36,False
2011-12-18,33,False
2011-12-25,40,False
