date,seriousness,isPartial
2015-01-04,78,False
2015-01-11,25,False
2015-01-18,65,False
2015-01-25,59,False
2015-02-01,82,False
2015-02-08,57,False
2015-02-15,38,False
2015-02-22,74,False
2015-03-01,74,False
2015-03-08,43,False
2015-03-15,72,False
2015-03-22,56,False
2015-03-29,70,False
2015-04-05,52,False
2015-04-12,68,False
2015-04-19,43,False
2015-04-26,56,False
2015-05-03,44,False
2015-05-10,62,False
2015-05-17,32,False
2015-05-24,43,False
2015-05-31,37,False
2015-06-07,33,False
2015-06-14,65,False
2015-06-21,42,False
2015-06-28,43,False
2015-07-05,19,False
2015-07-12,42,False
2015-07-19,56,False
2015-07-26,64,False
2015-08-02,42,False
2015-08-09,37,False
2015-08-16,46,False
2015-08-23,54,False
2015-08-30,35,False
2015-09-06,67,False
2015-09-13,38,False
2015-09-20,97,False
2015-09-27,34,False
2015-10-04,99,False
2015-10-11,68,False
2015-10-18,41,False
2015-10-25,83,False
2015-11-01,70,False
2015-11-08,58,False
2015-11-15,53,False
2015-11-22,45,False
2015-11-29,100,False
2015-12-06,45,False
2015-12-13,50,False
2015-12-20,43,False
2015-12-27,27,False
