date,seriousness,isPartial
2014-01-05,37,False
2014-01-12,66,False
2014-01-19,41,False
2014-01-26,78,False
2014-02-02,61,False
2014-02-09,61,False
2014-02-16,57,False
2014-02-23,77,False
2014-03-02,52,False
2014-03-09,66,False
2014-03-16,61,False
2014-03-23,62,False
2014-03-30,45,False
2014-04-06,46,False
2014-04-13,80,False
2014-04-20,88,False
2014-04-27,38,False
2014-05-04,42,False
2014-05-11,61,False
2014-05-18,75,False
2014-05-25,45,False
2014-06-01,93,False
2014-06-08,40,False
2014-06-15,20,False
2014-06-22,50,False
2014-06-29,58,False
2014-07-06,50,False
2014-07-13,74,False
2014-07-20,39,False
2014-07-27,59,False
2014-08-03,63,False
2014-08-10,39,False
2014-08-17,58,False
2014-08-24,28,False
2014-08-31,62,False
2014-09-07,54,False
2014-09-14,60,False
2014-09-21,79,False
2014-09-28,46,False
2014-10-05,78,False
2014-10-12,73,False
2014-10-19,69,False
2014-10-26,69,False
2014-11-02,59,False
2014-11-09,63,False
2014-11-16,100,False
2014-11-23,43,False
2014-11-30,87,False
2014-12-07,49,False
2014-12-14,66,False
2014-12-21,33,False
2014-12-28,30,False
