geoName,sorrowful
Alabama,39
Alaska,0
Arizona,24
Arkansas,28
California,25
Colorado,28
Connecticut,41
Delaware,31
District of Columbia,25
Florida,42
Georgia,24
Hawaii,32
Idaho,20
Illinois,26
Indiana,25
Iowa,26
Kansas,47
Kentucky,29
Louisiana,47
Maine,19
Maryland,61
Massachusetts,40
Michigan,42
Minnesota,19
Mississippi,30
Missouri,39
Montana,0
Nebraska,13
Nevada,30
New Hampshire,48
New Jersey,43
New Mexico,17
New York,44
North Carolina,35
North Dakota,39
Ohio,62
Oklahoma,62
Oregon,30
Pennsylvania,100
Rhode Island,41
South Carolina,28
South Dakota,0
Tennessee,42
Texas,40
Utah,9
Vermont,70
Virginia,43
Washington,49
West Virginia,63
Wisconsin,41
Wyoming,0
