geoName,sorrowful
Alabama,34
Alaska,0
Arizona,36
Arkansas,9
California,45
Colorado,46
Connecticut,55
Delaware,61
District of Columbia,36
Florida,50
Georgia,33
Hawaii,55
Idaho,24
Illinois,50
Indiana,39
Iowa,78
Kansas,83
Kentucky,22
Louisiana,68
Maine,38
Maryland,44
Massachusetts,41
Michigan,52
Minnesota,40
Mississippi,16
Missouri,25
Montana,0
Nebraska,49
Nevada,19
New Hampshire,45
New Jersey,45
New Mexico,100
New York,39
North Carolina,43
North Dakota,24
Ohio,63
Oklahoma,46
Oregon,23
Pennsylvania,87
Rhode Island,14
South Carolina,35
South Dakota,49
Tennessee,56
Texas,41
Utah,23
Vermont,71
Virginia,42
Washington,27
West Virginia,39
Wisconsin,55
Wyoming,0
