geoName,sorrowful
Alabama,45
Alaska,0
Arizona,37
Arkansas,85
California,53
Colorado,31
Connecticut,52
Delaware,75
District of Columbia,45
Florida,46
Georgia,33
Hawaii,65
Idaho,34
Illinois,44
Indiana,66
Iowa,44
Kansas,59
Kentucky,32
Louisiana,83
Maine,45
Maryland,50
Massachusetts,31
Michigan,56
Minnesota,46
Mississippi,33
Missouri,57
Montana,0
Nebraska,90
Nevada,54
New Hampshire,30
New Jersey,76
New Mexico,100
New York,50
North Carolina,47
North Dakota,0
Ohio,51
Oklahoma,54
Oregon,45
Pennsylvania,67
Rhode Island,25
South Carolina,33
South Dakota,24
Tennessee,61
Texas,46
Utah,46
Vermont,43
Virginia,34
Washington,24
West Virginia,51
Wisconsin,53
Wyoming,0
