date,sorrowful,isPartial
2011-01-02,32,False
2011-01-09,36,False
2011-01-16,53,False
2011-01-23,84,False
2011-01-30,42,False
2011-02-06,47,False
2011-02-13,49,False
2011-02-20,75,False
2011-02-27,60,False
2011-03-06,98,False
2011-03-13,100,False
2011-03-20,64,False
2011-03-27,90,False
2011-04-03,86,False
2011-04-10,82,False
2011-04-17,79,False
2011-04-24,48,False
2011-05-01,30,False
2011-05-08,39,False
2011-05-15,69,False
2011-05-22,27,False
2011-05-29,27,False
2011-06-05,44,False
2011-06-12,44,False
2011-06-19,52,False
2011-06-26,27,False
2011-07-03,41,False
2011-07-10,43,False
2011-07-17,34,False
2011-07-24,42,False
2011-07-31,17,False
2011-08-07,42,False
2011-08-14,42,False
2011-08-21,58,False
2011-08-28,66,False
2011-09-04,78,False
2011-09-11,60,False
2011-09-18,47,False
2011-09-25,78,False
2011-10-02,94,False
2011-10-09,54,False
2011-10-16,85,False
2011-10-23,61,False
2011-10-30,31,False
2011-11-06,53,False
2011-11-13,41,False
2011-11-20,64,False
2011-11-27,61,False
2011-12-04,32,False
2011-12-11,73,False
2011-12-18,43,False
2011-12-25,44,False
