geoName,sorrowful
Alabama,45
Alaska,0
Arizona,52
Arkansas,45
California,47
Colorado,39
Connecticut,57
Delaware,38
District of Columbia,36
Florida,44
Georgia,38
Hawaii,61
Idaho,32
Illinois,47
Indiana,47
Iowa,45
Kansas,63
Kentucky,44
Louisiana,75
Maine,18
Maryland,42
Massachusetts,39
Michigan,36
Minnesota,47
Mississippi,33
Missouri,41
Montana,0
Nebraska,100
Nevada,36
New Hampshire,58
New Jersey,53
New Mexico,83
New York,46
North Carolina,42
North Dakota,50
Ohio,67
Oklahoma,41
Oregon,50
Pennsylvania,67
Rhode Island,98
South Carolina,34
South Dakota,99
Tennessee,39
Texas,56
Utah,11
Vermont,55
Virginia,38
Washington,37
West Virginia,9
Wisconsin,43
Wyoming,0
