geoName,sorrowful
Alabama,48
Alaska,0
Arizona,26
Arkansas,22
California,37
Colorado,23
Connecticut,43
Delaware,100
District of Columbia,27
Florida,32
Georgia,26
Hawaii,24
Idaho,22
Illinois,34
Indiana,40
Iowa,23
Kansas,26
Kentucky,36
Louisiana,62
Maine,24
Maryland,24
Massachusetts,29
Michigan,38
Minnesota,25
Mississippi,34
Missouri,32
Montana,0
Nebraska,39
Nevada,10
New Hampshire,8
New Jersey,37
New Mexico,51
New York,33
North Carolina,30
North Dakota,15
Ohio,52
Oklahoma,44
Oregon,29
Pennsylvania,43
Rhode Island,43
South Carolina,26
South Dakota,16
Tennessee,32
Texas,41
Utah,11
Vermont,15
Virginia,26
Washington,22
West Virginia,26
Wisconsin,29
Wyoming,0
