date,sorrowful,isPartial
2013-01-06,8,False
2013-01-13,10,False
2013-01-20,9,False
2013-01-27,7,False
2013-02-03,11,False
2013-02-10,11,False
2013-02-17,13,False
2013-02-24,11,False
2013-03-03,13,False
2013-03-10,14,False
2013-03-17,37,False
2013-03-24,100,False
2013-03-31,25,False
2013-04-07,11,False
2013-04-14,10,False
2013-04-21,9,False
2013-04-28,8,False
2013-05-05,8,False
2013-05-12,11,False
2013-05-19,10,False
2013-05-26,9,False
2013-06-02,6,False
2013-06-09,10,False
2013-06-16,5,False
2013-06-23,5,False
2013-06-30,6,False
2013-07-07,8,False
2013-07-14,7,False
2013-07-21,6,False
2013-07-28,6,False
2013-08-04,7,False
2013-08-11,5,False
2013-08-18,8,False
2013-08-25,10,False
2013-09-01,10,False
2013-09-08,5,False
2013-09-15,10,False
2013-09-22,11,False
2013-09-29,11,False
2013-10-06,11,False
2013-10-13,13,False
2013-10-20,9,False
2013-10-27,10,False
2013-11-03,11,False
2013-11-10,11,False
2013-11-17,16,False
2013-11-24,7,False
2013-12-01,9,False
2013-12-08,5,False
2013-12-15,8,False
2013-12-22,7,False
2013-12-29,8,False
