date,sorrowful,isPartial
2016-01-03,50,False
2016-01-10,51,False
2016-01-17,36,False
2016-01-24,73,False
2016-01-31,78,False
2016-02-07,99,False
2016-02-14,100,False
2016-02-21,77,False
2016-02-28,86,False
2016-03-06,73,False
2016-03-13,96,False
2016-03-20,92,False
2016-03-27,64,False
2016-04-03,65,False
2016-04-10,59,False
2016-04-17,70,False
2016-04-24,60,False
2016-05-01,61,False
2016-05-08,66,False
2016-05-15,58,False
2016-05-22,53,False
2016-05-29,41,False
2016-06-05,28,False
2016-06-12,42,False
2016-06-19,47,False
2016-06-26,59,False
2016-07-03,32,False
2016-07-10,48,False
2016-07-17,43,False
2016-07-24,48,False
2016-07-31,36,False
2016-08-07,56,False
2016-08-14,57,False
2016-08-21,66,False
2016-08-28,72,False
2016-09-04,66,False
2016-09-11,51,False
2016-09-18,75,False
2016-09-25,61,False
2016-10-02,86,False
2016-10-09,77,False
2016-10-16,83,False
2016-10-23,79,False
2016-10-30,60,False
2016-11-06,77,False
2016-11-13,68,False
2016-11-20,39,False
2016-11-27,63,False
2016-12-04,52,False
2016-12-11,49,False
2016-12-18,55,False
2016-12-25,51,False
