date,sorrowful,isPartial
2014-01-05,42,False
2014-01-12,54,False
2014-01-19,70,False
2014-01-26,70,False
2014-02-02,52,False
2014-02-09,41,False
2014-02-16,52,False
2014-02-23,74,False
2014-03-02,66,False
2014-03-09,72,False
2014-03-16,79,False
2014-03-23,58,False
2014-03-30,60,False
2014-04-06,75,False
2014-04-13,100,False
2014-04-20,43,False
2014-04-27,53,False
2014-05-04,51,False
2014-05-11,74,False
2014-05-18,43,False
2014-05-25,36,False
2014-06-01,42,False
2014-06-08,19,False
2014-06-15,49,False
2014-06-22,41,False
2014-06-29,23,False
2014-07-06,38,False
2014-07-13,29,False
2014-07-20,67,False
2014-07-27,45,False
2014-08-03,55,False
2014-08-10,37,False
2014-08-17,42,False
2014-08-24,55,False
2014-08-31,62,False
2014-09-07,66,False
2014-09-14,71,False
2014-09-21,74,False
2014-09-28,71,False
2014-10-05,65,False
2014-10-12,51,False
2014-10-19,69,False
2014-10-26,67,False
2014-11-02,59,False
2014-11-09,57,False
2014-11-16,37,False
2014-11-23,35,False
2014-11-30,67,False
2014-12-07,56,False
2014-12-14,44,False
2014-12-21,53,False
2014-12-28,51,False
