date,worthless,isPartial
2012-01-01,80,False
2012-01-08,88,False
2012-01-15,80,False
2012-01-22,75,False
2012-01-29,69,False
2012-02-05,71,False
2012-02-12,76,False
2012-02-19,73,False
2012-02-26,65,False
2012-03-04,70,False
2012-03-11,69,False
2012-03-18,76,False
2012-03-25,79,False
2012-04-01,84,False
2012-04-08,82,False
2012-04-15,90,False
2012-04-22,100,False
2012-04-29,77,False
2012-05-06,72,False
2012-05-13,63,False
2012-05-20,68,False
2012-05-27,66,False
2012-06-03,55,False
2012-06-10,79,False
2012-06-17,84,False
2012-06-24,77,False
2012-07-01,78,False
2012-07-08,78,False
2012-07-15,70,False
2012-07-22,59,False
2012-07-29,64,False
2012-08-05,68,False
2012-08-12,69,False
2012-08-19,89,False
2012-08-26,83,False
2012-09-02,89,False
2012-09-09,89,False
2012-09-16,82,False
2012-09-23,89,False
2012-09-30,73,False
2012-10-07,61,False
2012-10-14,80,False
2012-10-21,81,False
2012-10-28,75,False
2012-11-04,81,False
2012-11-11,84,False
2012-11-18,70,False
2012-11-25,90,False
2012-12-02,87,False
2012-12-09,77,False
2012-12-16,64,False
2012-12-23,78,False
2012-12-30,68,False
