geoName,worthless
Alabama,98
Alaska,79
Arizona,64
Arkansas,60
California,55
Colorado,72
Connecticut,55
Delaware,53
District of Columbia,55
Florida,56
Georgia,71
Hawaii,37
Idaho,79
Illinois,63
Indiana,81
Iowa,81
Kansas,62
Kentucky,69
Louisiana,61
Maine,50
Maryland,70
Massachusetts,48
Michigan,61
Minnesota,78
Mississippi,68
Missouri,60
Montana,76
Nebraska,72
Nevada,54
New Hampshire,51
New Jersey,55
New Mexico,89
New York,53
North Carolina,68
North Dakota,93
Ohio,56
Oklahoma,96
Oregon,59
Pennsylvania,63
Rhode Island,57
South Carolina,67
South Dakota,74
Tennessee,61
Texas,61
Utah,60
Vermont,63
Virginia,67
Washington,60
West Virginia,100
Wisconsin,63
Wyoming,52
