geoName,worthless
Alabama,100
Alaska,43
Arizona,53
Arkansas,47
California,45
Colorado,54
Connecticut,39
Delaware,43
District of Columbia,53
Florida,52
Georgia,48
Hawaii,62
Idaho,22
Illinois,46
Indiana,49
Iowa,56
Kansas,86
Kentucky,44
Louisiana,43
Maine,72
Maryland,48
Massachusetts,35
Michigan,48
Minnesota,64
Mississippi,33
Missouri,63
Montana,53
Nebraska,80
Nevada,44
New Hampshire,44
New Jersey,47
New Mexico,51
New York,50
North Carolina,66
North Dakota,32
Ohio,53
Oklahoma,54
Oregon,47
Pennsylvania,49
Rhode Island,11
South Carolina,80
South Dakota,98
Tennessee,55
Texas,50
Utah,56
Vermont,29
Virginia,54
Washington,64
West Virginia,93
Wisconsin,63
Wyoming,88
