date,worthless,isPartial
2014-01-05,80,False
2014-01-12,85,False
2014-01-19,75,False
2014-01-26,69,False
2014-02-02,69,False
2014-02-09,70,False
2014-02-16,74,False
2014-02-23,86,False
2014-03-02,65,False
2014-03-09,70,False
2014-03-16,81,False
2014-03-23,86,False
2014-03-30,80,False
2014-04-06,100,False
2014-04-13,82,False
2014-04-20,72,False
2014-04-27,86,False
2014-05-04,81,False
2014-05-11,66,False
2014-05-18,76,False
2014-05-25,70,False
2014-06-01,70,False
2014-06-08,75,False
2014-06-15,79,False
2014-06-22,84,False
2014-06-29,63,False
2014-07-06,72,False
2014-07-13,63,False
2014-07-20,80,False
2014-07-27,69,False
2014-08-03,74,False
2014-08-10,66,False
2014-08-17,76,False
2014-08-24,74,False
2014-08-31,59,False
2014-09-07,88,False
2014-09-14,69,False
2014-09-21,63,False
2014-09-28,68,False
2014-10-05,77,False
2014-10-12,62,False
2014-10-19,75,False
2014-10-26,88,False
2014-11-02,67,False
2014-11-09,82,False
2014-11-16,82,False
2014-11-23,59,False
2014-11-30,79,False
2014-12-07,82,False
2014-12-14,74,False
2014-12-21,80,False
2014-12-28,72,False
