geoName,worthless
Alabama,96
Alaska,58
Arizona,66
Arkansas,100
California,59
Colorado,61
Connecticut,52
Delaware,60
District of Columbia,60
Florida,62
Georgia,60
Hawaii,39
Idaho,75
Illinois,62
Indiana,76
Iowa,68
Kansas,59
Kentucky,72
Louisiana,79
Maine,74
Maryland,62
Massachusetts,44
Michigan,60
Minnesota,62
Mississippi,47
Missouri,69
Montana,59
Nebraska,76
Nevada,75
New Hampshire,59
New Jersey,56
New Mexico,76
New York,42
North Carolina,67
North Dakota,56
Ohio,76
Oklahoma,55
Oregon,33
Pennsylvania,61
Rhode Island,62
South Carolina,70
South Dakota,57
Tennessee,72
Texas,66
Utah,62
Vermont,61
Virginia,51
Washington,51
West Virginia,99
Wisconsin,66
Wyoming,86
