geoName,worthless
Alabama,86
Alaska,83
Arizona,62
Arkansas,87
California,49
Colorado,76
Connecticut,36
Delaware,57
District of Columbia,48
Florida,59
Georgia,58
Hawaii,67
Idaho,66
Illinois,49
Indiana,81
Iowa,67
Kansas,62
Kentucky,56
Louisiana,71
Maine,67
Maryland,62
Massachusetts,43
Michigan,62
Minnesota,63
Mississippi,48
Missouri,61
Montana,48
Nebraska,54
Nevada,56
New Hampshire,33
New Jersey,48
New Mexico,86
New York,54
North Carolina,55
North Dakota,62
Ohio,55
Oklahoma,63
Oregon,49
Pennsylvania,69
Rhode Island,38
South Carolina,63
South Dakota,83
Tennessee,58
Texas,50
Utah,57
Vermont,74
Virginia,39
Washington,56
West Virginia,100
Wisconsin,58
Wyoming,70
