geoName,worthless
Alabama,100
Alaska,62
Arizona,37
Arkansas,50
California,35
Colorado,36
Connecticut,32
Delaware,45
District of Columbia,35
Florida,42
Georgia,43
Hawaii,70
Idaho,75
Illinois,39
Indiana,41
Iowa,57
Kansas,56
Kentucky,34
Louisiana,37
Maine,45
Maryland,38
Massachusetts,25
Michigan,38
Minnesota,48
Mississippi,37
Missouri,51
Montana,32
Nebraska,40
Nevada,40
New Hampshire,22
New Jersey,37
New Mexico,49
New York,33
North Carolina,51
North Dakota,50
Ohio,52
Oklahoma,47
Oregon,26
Pennsylvania,42
Rhode Island,31
South Carolina,54
South Dakota,58
Tennessee,36
Texas,36
Utah,47
Vermont,16
Virginia,36
Washington,37
West Virginia,34
Wisconsin,40
Wyoming,27
