date,worthless,isPartial
2016-01-03,85,False
2016-01-10,81,False
2016-01-17,74,False
2016-01-24,85,False
2016-01-31,100,False
2016-02-07,86,False
2016-02-14,91,False
2016-02-21,89,False
2016-02-28,80,False
2016-03-06,74,False
2016-03-13,89,False
2016-03-20,94,False
2016-03-27,77,False
2016-04-03,88,False
2016-04-10,89,False
2016-04-17,89,False
2016-04-24,81,False
2016-05-01,100,False
2016-05-08,90,False
2016-05-15,87,False
2016-05-22,76,False
2016-05-29,88,False
2016-06-05,75,False
2016-06-12,85,False
2016-06-19,77,False
2016-06-26,69,False
2016-07-03,89,False
2016-07-10,82,False
2016-07-17,67,False
2016-07-24,61,False
2016-07-31,70,False
2016-08-07,75,False
2016-08-14,70,False
2016-08-21,75,False
2016-08-28,80,False
2016-09-04,82,False
2016-09-11,76,False
2016-09-18,89,False
2016-09-25,74,False
2016-10-02,80,False
2016-10-09,91,False
2016-10-16,73,False
2016-10-23,74,False
2016-10-30,76,False
2016-11-06,67,False
2016-11-13,83,False
2016-11-20,84,False
2016-11-27,80,False
2016-12-04,79,False
2016-12-11,74,False
2016-12-18,71,False
2016-12-25,72,False
