date,worthless,isPartial
2015-01-04,72,False
2015-01-11,68,False
2015-01-18,71,False
2015-01-25,77,False
2015-02-01,69,False
2015-02-08,84,False
2015-02-15,79,False
2015-02-22,88,False
2015-03-01,80,False
2015-03-08,71,False
2015-03-15,80,False
2015-03-22,73,False
2015-03-29,83,False
2015-04-05,80,False
2015-04-12,69,False
2015-04-19,73,False
2015-04-26,66,False
2015-05-03,85,False
2015-05-10,80,False
2015-05-17,91,False
2015-05-24,85,False
2015-05-31,77,False
2015-06-07,89,False
2015-06-14,75,False
2015-06-21,76,False
2015-06-28,63,False
2015-07-05,64,False
2015-07-12,68,False
2015-07-19,72,False
2015-07-26,75,False
2015-08-02,93,False
2015-08-09,76,False
2015-08-16,73,False
2015-08-23,70,False
2015-08-30,100,False
2015-09-06,82,False
2015-09-13,85,False
2015-09-20,89,False
2015-09-27,69,False
2015-10-04,82,False
2015-10-11,88,False
2015-10-18,78,False
2015-10-25,82,False
2015-11-01,82,False
2015-11-08,80,False
2015-11-15,69,False
2015-11-22,83,False
2015-11-29,68,False
2015-12-06,88,False
2015-12-13,74,False
2015-12-20,57,False
2015-12-27,63,False
