date,worthless,isPartial
2013-01-06,80,False
2013-01-13,84,False
2013-01-20,75,False
2013-01-27,71,False
2013-02-03,80,False
2013-02-10,75,False
2013-02-17,87,False
2013-02-24,77,False
2013-03-03,93,False
2013-03-10,93,False
2013-03-17,85,False
2013-03-24,77,False
2013-03-31,98,False
2013-04-07,74,False
2013-04-14,81,False
2013-04-21,73,False
2013-04-28,82,False
2013-05-05,90,False
2013-05-12,86,False
2013-05-19,77,False
2013-05-26,78,False
2013-06-02,74,False
2013-06-09,80,False
2013-06-16,75,False
2013-06-23,82,False
2013-06-30,57,False
2013-07-07,90,False
2013-07-14,82,False
2013-07-21,100,False
2013-07-28,83,False
2013-08-04,77,False
2013-08-11,82,False
2013-08-18,73,False
2013-08-25,66,False
2013-09-01,91,False
2013-09-08,79,False
2013-09-15,68,False
2013-09-22,74,False
2013-09-29,78,False
2013-10-06,97,False
2013-10-13,76,False
2013-10-20,69,False
2013-10-27,67,False
2013-11-03,85,False
2013-11-10,81,False
2013-11-17,91,False
2013-11-24,73,False
2013-12-01,86,False
2013-12-08,82,False
2013-12-15,80,False
2013-12-22,73,False
2013-12-29,85,False
