geoName,studies
Alabama,73
Alaska,56
Arizona,63
Arkansas,80
California,64
Colorado,62
Connecticut,81
Delaware,85
District of Columbia,81
Florida,54
Georgia,64
Hawaii,76
Idaho,64
Illinois,56
Indiana,86
Iowa,72
Kansas,72
Kentucky,69
Louisiana,72
Maine,77
Maryland,77
Massachusetts,77
Michigan,72
Minnesota,61
Mississippi,75
Missouri,59
Montana,73
Nebraska,71
Nevada,48
New Hampshire,85
New Jersey,73
New Mexico,76
New York,77
North Carolina,83
North Dakota,81
Ohio,74
Oklahoma,68
Oregon,68
Pennsylvania,77
Rhode Island,100
South Carolina,77
South Dakota,79
Tennessee,74
Texas,55
Utah,69
Vermont,99
Virginia,89
Washington,51
West Virginia,98
Wisconsin,70
Wyoming,58
