date,low,isPartial
2011-01-02,98,False
2011-01-09,94,False
2011-01-16,94,False
2011-01-23,96,False
2011-01-30,100,False
2011-02-06,95,False
2011-02-13,95,False
2011-02-20,95,False
2011-02-27,95,False
2011-03-06,97,False
2011-03-13,95,False
2011-03-20,100,False
2011-03-27,97,False
2011-04-03,98,False
2011-04-10,94,False
2011-04-17,96,False
2011-04-24,94,False
2011-05-01,90,False
2011-05-08,93,False
2011-05-15,91,False
2011-05-22,94,False
2011-05-29,95,False
2011-06-05,97,False
2011-06-12,95,False
2011-06-19,92,False
2011-06-26,93,False
2011-07-03,88,False
2011-07-10,92,False
2011-07-17,94,False
2011-07-24,92,False
2011-07-31,94,False
2011-08-07,93,False
2011-08-14,90,False
2011-08-21,90,False
2011-08-28,88,False
2011-09-04,87,False
2011-09-11,87,False
2011-09-18,87,False
2011-09-25,88,False
2011-10-02,85,False
2011-10-09,90,False
2011-10-16,87,False
2011-10-23,84,False
2011-10-30,85,False
2011-11-06,87,False
2011-11-13,85,False
2011-11-20,80,False
2011-11-27,84,False
2011-12-04,81,False
2011-12-11,81,False
2011-12-18,77,False
2011-12-25,78,False
