geoName,low
Alabama,90
Alaska,82
Arizona,100
Arkansas,91
California,76
Colorado,76
Connecticut,80
Delaware,85
District of Columbia,70
Florida,80
Georgia,82
Hawaii,73
Idaho,85
Illinois,79
Indiana,85
Iowa,82
Kansas,78
Kentucky,87
Louisiana,85
Maine,85
Maryland,82
Massachusetts,79
Michigan,80
Minnesota,81
Mississippi,87
Missouri,85
Montana,82
Nebraska,80
Nevada,78
New Hampshire,88
New Jersey,75
New Mexico,91
New York,72
North Carolina,86
North Dakota,80
Ohio,85
Oklahoma,86
Oregon,53
Pennsylvania,78
Rhode Island,78
South Carolina,92
South Dakota,78
Tennessee,88
Texas,78
Utah,81
Vermont,80
Virginia,63
Washington,81
West Virginia,91
Wisconsin,81
Wyoming,79
