date,low,isPartial
2016-01-03,97,False
2016-01-10,93,False
2016-01-17,96,False
2016-01-24,95,False
2016-01-31,94,False
2016-02-07,92,False
2016-02-14,96,False
2016-02-21,94,False
2016-02-28,94,False
2016-03-06,97,False
2016-03-13,94,False
2016-03-20,95,False
2016-03-27,96,False
2016-04-03,97,False
2016-04-10,100,False
2016-04-17,96,False
2016-04-24,97,False
2016-05-01,94,False
2016-05-08,93,False
2016-05-15,94,False
2016-05-22,100,False
2016-05-29,97,False
2016-06-05,95,False
2016-06-12,96,False
2016-06-19,95,False
2016-06-26,95,False
2016-07-03,93,False
2016-07-10,96,False
2016-07-17,97,False
2016-07-24,96,False
2016-07-31,92,False
2016-08-07,87,False
2016-08-14,88,False
2016-08-21,91,False
2016-08-28,91,False
2016-09-04,91,False
2016-09-11,93,False
2016-09-18,95,False
2016-09-25,93,False
2016-10-02,89,False
2016-10-09,87,False
2016-10-16,90,False
2016-10-23,90,False
2016-10-30,91,False
2016-11-06,81,False
2016-11-13,89,False
2016-11-20,80,False
2016-11-27,87,False
2016-12-04,86,False
2016-12-11,89,False
2016-12-18,81,False
2016-12-25,84,False
