geoName,low
Alabama,86
Alaska,77
Arizona,100
Arkansas,91
California,77
Colorado,75
Connecticut,77
Delaware,82
District of Columbia,72
Florida,81
Georgia,78
Hawaii,76
Idaho,77
Illinois,75
Indiana,92
Iowa,80
Kansas,82
Kentucky,83
Louisiana,80
Maine,84
Maryland,78
Massachusetts,77
Michigan,78
Minnesota,76
Mississippi,85
Missouri,81
Montana,79
Nebraska,77
Nevada,79
New Hampshire,87
New Jersey,75
New Mexico,84
New York,71
North Carolina,84
North Dakota,79
Ohio,78
Oklahoma,81
Oregon,86
Pennsylvania,80
Rhode Island,81
South Carolina,94
South Dakota,88
Tennessee,86
Texas,76
Utah,82
Vermont,77
Virginia,80
Washington,80
West Virginia,92
Wisconsin,79
Wyoming,80
