geoName,low
Alabama,91
Alaska,78
Arizona,100
Arkansas,90
California,78
Colorado,74
Connecticut,80
Delaware,81
District of Columbia,69
Florida,77
Georgia,80
Hawaii,72
Idaho,82
Illinois,77
Indiana,87
Iowa,80
Kansas,83
Kentucky,86
Louisiana,85
Maine,83
Maryland,83
Massachusetts,75
Michigan,81
Minnesota,77
Mississippi,88
Missouri,82
Montana,87
Nebraska,77
Nevada,82
New Hampshire,80
New Jersey,77
New Mexico,87
New York,72
North Carolina,88
North Dakota,82
Ohio,81
Oklahoma,85
Oregon,58
Pennsylvania,85
Rhode Island,79
South Carolina,96
South Dakota,83
Tennessee,86
Texas,77
Utah,79
Vermont,74
Virginia,81
Washington,78
West Virginia,92
Wisconsin,82
Wyoming,83
