date,low,isPartial
2015-01-04,95,False
2015-01-11,96,False
2015-01-18,96,False
2015-01-25,95,False
2015-02-01,89,False
2015-02-08,89,False
2015-02-15,93,False
2015-02-22,93,False
2015-03-01,91,False
2015-03-08,91,False
2015-03-15,92,False
2015-03-22,96,False
2015-03-29,96,False
2015-04-05,96,False
2015-04-12,99,False
2015-04-19,100,False
2015-04-26,90,False
2015-05-03,92,False
2015-05-10,96,False
2015-05-17,99,False
2015-05-24,96,False
2015-05-31,97,False
2015-06-07,98,False
2015-06-14,95,False
2015-06-21,98,False
2015-06-28,96,False
2015-07-05,98,False
2015-07-12,98,False
2015-07-19,100,False
2015-07-26,100,False
2015-08-02,97,False
2015-08-09,99,False
2015-08-16,98,False
2015-08-23,94,False
2015-08-30,93,False
2015-09-06,91,False
2015-09-13,93,False
2015-09-20,96,False
2015-09-27,95,False
2015-10-04,92,False
2015-10-11,92,False
2015-10-18,92,False
2015-10-25,90,False
2015-11-01,92,False
2015-11-08,91,False
2015-11-15,91,False
2015-11-22,83,False
2015-11-29,86,False
2015-12-06,85,False
2015-12-13,83,False
2015-12-20,80,False
2015-12-27,91,False
