geoName,low
Alabama,90
Alaska,83
Arizona,100
Arkansas,87
California,77
Colorado,76
Connecticut,78
Delaware,80
District of Columbia,70
Florida,78
Georgia,82
Hawaii,73
Idaho,91
Illinois,75
Indiana,86
Iowa,83
Kansas,88
Kentucky,86
Louisiana,84
Maine,89
Maryland,80
Massachusetts,77
Michigan,83
Minnesota,76
Mississippi,90
Missouri,85
Montana,86
Nebraska,77
Nevada,77
New Hampshire,86
New Jersey,78
New Mexico,87
New York,70
North Carolina,84
North Dakota,80
Ohio,80
Oklahoma,84
Oregon,85
Pennsylvania,80
Rhode Island,85
South Carolina,98
South Dakota,86
Tennessee,88
Texas,76
Utah,87
Vermont,80
Virginia,80
Washington,80
West Virginia,96
Wisconsin,78
Wyoming,81
