geoName,low
Alabama,85
Alaska,78
Arizona,100
Arkansas,85
California,75
Colorado,77
Connecticut,79
Delaware,79
District of Columbia,71
Florida,79
Georgia,81
Hawaii,71
Idaho,82
Illinois,74
Indiana,83
Iowa,78
Kansas,67
Kentucky,87
Louisiana,80
Maine,85
Maryland,76
Massachusetts,77
Michigan,78
Minnesota,79
Mississippi,95
Missouri,80
Montana,82
Nebraska,76
Nevada,75
New Hampshire,82
New Jersey,73
New Mexico,84
New York,70
North Carolina,83
North Dakota,75
Ohio,81
Oklahoma,82
Oregon,61
Pennsylvania,78
Rhode Island,76
South Carolina,87
South Dakota,83
Tennessee,82
Texas,76
Utah,74
Vermont,78
Virginia,58
Washington,82
West Virginia,91
Wisconsin,79
Wyoming,75
