date,low,isPartial
2012-01-01,95,False
2012-01-08,99,False
2012-01-15,93,False
2012-01-22,92,False
2012-01-29,94,False
2012-02-05,93,False
2012-02-12,87,False
2012-02-19,97,False
2012-02-26,94,False
2012-03-04,94,False
2012-03-11,93,False
2012-03-18,91,False
2012-03-25,91,False
2012-04-01,91,False
2012-04-08,92,False
2012-04-15,96,False
2012-04-22,98,False
2012-04-29,98,False
2012-05-06,99,False
2012-05-13,95,False
2012-05-20,93,False
2012-05-27,92,False
2012-06-03,94,False
2012-06-10,94,False
2012-06-17,97,False
2012-06-24,98,False
2012-07-01,94,False
2012-07-08,97,False
2012-07-15,100,False
2012-07-22,95,False
2012-07-29,98,False
2012-08-05,98,False
2012-08-12,92,False
2012-08-19,95,False
2012-08-26,92,False
2012-09-02,90,False
2012-09-09,93,False
2012-09-16,96,False
2012-09-23,92,False
2012-09-30,93,False
2012-10-07,89,False
2012-10-14,89,False
2012-10-21,90,False
2012-10-28,83,False
2012-11-04,85,False
2012-11-11,86,False
2012-11-18,79,False
2012-11-25,86,False
2012-12-02,86,False
2012-12-09,83,False
2012-12-16,75,False
2012-12-23,77,False
2012-12-30,88,False
