date,low,isPartial
2014-01-05,100,False
2014-01-12,97,False
2014-01-19,100,False
2014-01-26,94,False
2014-02-02,91,False
2014-02-09,91,False
2014-02-16,93,False
2014-02-23,96,False
2014-03-02,96,False
2014-03-09,97,False
2014-03-16,93,False
2014-03-23,95,False
2014-03-30,99,False
2014-04-06,95,False
2014-04-13,96,False
2014-04-20,98,False
2014-04-27,99,False
2014-05-04,98,False
2014-05-11,93,False
2014-05-18,93,False
2014-05-25,96,False
2014-06-01,93,False
2014-06-08,95,False
2014-06-15,94,False
2014-06-22,91,False
2014-06-29,93,False
2014-07-06,95,False
2014-07-13,96,False
2014-07-20,93,False
2014-07-27,93,False
2014-08-03,99,False
2014-08-10,93,False
2014-08-17,91,False
2014-08-24,92,False
2014-08-31,89,False
2014-09-07,89,False
2014-09-14,95,False
2014-09-21,92,False
2014-09-28,92,False
2014-10-05,92,False
2014-10-12,88,False
2014-10-19,90,False
2014-10-26,89,False
2014-11-02,88,False
2014-11-09,90,False
2014-11-16,89,False
2014-11-23,78,False
2014-11-30,82,False
2014-12-07,83,False
2014-12-14,79,False
2014-12-21,75,False
2014-12-28,87,False
