geoName,solitary
Alabama,46
Alaska,32
Arizona,56
Arkansas,43
California,52
Colorado,48
Connecticut,48
Delaware,71
District of Columbia,64
Florida,49
Georgia,44
Hawaii,35
Idaho,59
Illinois,49
Indiana,46
Iowa,58
Kansas,37
Kentucky,54
Louisiana,59
Maine,65
Maryland,48
Massachusetts,60
Michigan,61
Minnesota,51
Mississippi,54
Missouri,44
Montana,62
Nebraska,37
Nevada,51
New Hampshire,62
New Jersey,43
New Mexico,100
New York,50
North Carolina,53
North Dakota,38
Ohio,57
Oklahoma,49
Oregon,33
Pennsylvania,60
Rhode Island,40
South Carolina,36
South Dakota,79
Tennessee,44
Texas,52
Utah,40
Vermont,77
Virginia,50
Washington,49
West Virginia,37
Wisconsin,47
Wyoming,52
