geoName,solitary
Alabama,56
Alaska,23
Arizona,50
Arkansas,48
California,51
Colorado,64
Connecticut,67
Delaware,75
District of Columbia,43
Florida,49
Georgia,45
Hawaii,33
Idaho,47
Illinois,48
Indiana,58
Iowa,67
Kansas,45
Kentucky,51
Louisiana,52
Maine,76
Maryland,77
Massachusetts,55
Michigan,49
Minnesota,56
Mississippi,48
Missouri,54
Montana,100
Nebraska,59
Nevada,33
New Hampshire,59
New Jersey,45
New Mexico,59
New York,51
North Carolina,53
North Dakota,65
Ohio,48
Oklahoma,41
Oregon,46
Pennsylvania,60
Rhode Island,68
South Carolina,41
South Dakota,65
Tennessee,52
Texas,42
Utah,49
Vermont,58
Virginia,54
Washington,45
West Virginia,51
Wisconsin,51
Wyoming,36
