geoName,solitary
Alabama,91
Alaska,45
Arizona,74
Arkansas,61
California,64
Colorado,62
Connecticut,62
Delaware,55
District of Columbia,62
Florida,59
Georgia,51
Hawaii,61
Idaho,97
Illinois,57
Indiana,66
Iowa,54
Kansas,62
Kentucky,63
Louisiana,72
Maine,78
Maryland,76
Massachusetts,71
Michigan,69
Minnesota,56
Mississippi,62
Missouri,54
Montana,91
Nebraska,53
Nevada,47
New Hampshire,88
New Jersey,66
New Mexico,100
New York,67
North Carolina,62
North Dakota,52
Ohio,57
Oklahoma,82
Oregon,78
Pennsylvania,62
Rhode Island,60
South Carolina,57
South Dakota,55
Tennessee,72
Texas,53
Utah,76
Vermont,56
Virginia,67
Washington,61
West Virginia,84
Wisconsin,70
Wyoming,56
