date,solitary,isPartial
2016-01-03,50,False
2016-01-10,51,False
2016-01-17,48,False
2016-01-24,100,False
2016-01-31,72,False
2016-02-07,66,False
2016-02-14,62,False
2016-02-21,75,False
2016-02-28,64,False
2016-03-06,63,False
2016-03-13,62,False
2016-03-20,59,False
2016-03-27,56,False
2016-04-03,56,False
2016-04-10,75,False
2016-04-17,54,False
2016-04-24,73,False
2016-05-01,69,False
2016-05-08,62,False
2016-05-15,55,False
2016-05-22,52,False
2016-05-29,51,False
2016-06-05,48,False
2016-06-12,50,False
2016-06-19,55,False
2016-06-26,57,False
2016-07-03,46,False
2016-07-10,40,False
2016-07-17,56,False
2016-07-24,38,False
2016-07-31,40,False
2016-08-07,38,False
2016-08-14,36,False
2016-08-21,38,False
2016-08-28,52,False
2016-09-04,53,False
2016-09-11,61,False
2016-09-18,54,False
2016-09-25,65,False
2016-10-02,56,False
2016-10-09,61,False
2016-10-16,61,False
2016-10-23,62,False
2016-10-30,67,False
2016-11-06,52,False
2016-11-13,73,False
2016-11-20,53,False
2016-11-27,72,False
2016-12-04,79,False
2016-12-11,73,False
2016-12-18,61,False
2016-12-25,44,False
