date,solitary,isPartial
2013-01-06,57,False
2013-01-13,45,False
2013-01-20,58,False
2013-01-27,52,False
2013-02-03,63,False
2013-02-10,61,False
2013-02-17,76,False
2013-02-24,64,False
2013-03-03,100,False
2013-03-10,92,False
2013-03-17,80,False
2013-03-24,67,False
2013-03-31,59,False
2013-04-07,66,False
2013-04-14,63,False
2013-04-21,69,False
2013-04-28,67,False
2013-05-05,70,False
2013-05-12,55,False
2013-05-19,53,False
2013-05-26,52,False
2013-06-02,55,False
2013-06-09,50,False
2013-06-16,50,False
2013-06-23,51,False
2013-06-30,51,False
2013-07-07,64,False
2013-07-14,66,False
2013-07-21,58,False
2013-07-28,66,False
2013-08-04,54,False
2013-08-11,54,False
2013-08-18,60,False
2013-08-25,60,False
2013-09-01,69,False
2013-09-08,55,False
2013-09-15,58,False
2013-09-22,71,False
2013-09-29,86,False
2013-10-06,63,False
2013-10-13,59,False
2013-10-20,65,False
2013-10-27,68,False
2013-11-03,65,False
2013-11-10,64,False
2013-11-17,72,False
2013-11-24,51,False
2013-12-01,69,False
2013-12-08,74,False
2013-12-15,63,False
2013-12-22,53,False
2013-12-29,43,False
