geoName,solitary
Alabama,46
Alaska,71
Arizona,49
Arkansas,48
California,61
Colorado,58
Connecticut,41
Delaware,75
District of Columbia,72
Florida,54
Georgia,48
Hawaii,52
Idaho,66
Illinois,57
Indiana,50
Iowa,63
Kansas,48
Kentucky,42
Louisiana,61
Maine,61
Maryland,68
Massachusetts,57
Michigan,58
Minnesota,52
Mississippi,47
Missouri,53
Montana,100
Nebraska,59
Nevada,46
New Hampshire,55
New Jersey,69
New Mexico,71
New York,68
North Carolina,59
North Dakota,76
Ohio,63
Oklahoma,55
Oregon,41
Pennsylvania,60
Rhode Island,70
South Carolina,64
South Dakota,66
Tennessee,63
Texas,51
Utah,43
Vermont,64
Virginia,49
Washington,57
West Virginia,51
Wisconsin,61
Wyoming,37
