date,solitary,isPartial
2012-01-01,64,False
2012-01-08,69,False
2012-01-15,78,False
2012-01-22,100,False
2012-01-29,82,False
2012-02-05,72,False
2012-02-12,76,False
2012-02-19,70,False
2012-02-26,69,False
2012-03-04,67,False
2012-03-11,65,False
2012-03-18,76,False
2012-03-25,70,False
2012-04-01,86,False
2012-04-08,72,False
2012-04-15,72,False
2012-04-22,85,False
2012-04-29,70,False
2012-05-06,85,False
2012-05-13,70,False
2012-05-20,58,False
2012-05-27,65,False
2012-06-03,60,False
2012-06-10,56,False
2012-06-17,67,False
2012-06-24,71,False
2012-07-01,61,False
2012-07-08,51,False
2012-07-15,61,False
2012-07-22,70,False
2012-07-29,60,False
2012-08-05,64,False
2012-08-12,65,False
2012-08-19,56,False
2012-08-26,73,False
2012-09-02,62,False
2012-09-09,64,False
2012-09-16,69,False
2012-09-23,63,False
2012-09-30,75,False
2012-10-07,79,False
2012-10-14,74,False
2012-10-21,73,False
2012-10-28,68,False
2012-11-04,59,False
2012-11-11,70,False
2012-11-18,69,False
2012-11-25,72,False
2012-12-02,79,False
2012-12-09,77,False
2012-12-16,76,False
2012-12-23,61,False
2012-12-30,56,False
