geoName,tragedy
Alabama,83
Alaska,80
Arizona,71
Arkansas,90
California,69
Colorado,75
Connecticut,94
Delaware,69
District of Columbia,75
Florida,67
Georgia,78
Hawaii,56
Idaho,89
Illinois,65
Indiana,88
Iowa,69
Kansas,69
Kentucky,73
Louisiana,78
Maine,81
Maryland,75
Massachusetts,77
Michigan,71
Minnesota,59
Mississippi,81
Missouri,73
Montana,70
Nebraska,58
Nevada,59
New Hampshire,84
New Jersey,77
New Mexico,65
New York,69
North Carolina,70
North Dakota,69
Ohio,77
Oklahoma,87
Oregon,55
Pennsylvania,70
Rhode Island,65
South Carolina,68
South Dakota,81
Tennessee,68
Texas,69
Utah,71
Vermont,100
Virginia,59
Washington,64
West Virginia,77
Wisconsin,68
Wyoming,52
