geoName,tragedy
Alabama,86
Alaska,64
Arizona,87
Arkansas,71
California,70
Colorado,78
Connecticut,98
Delaware,89
District of Columbia,76
Florida,78
Georgia,79
Hawaii,66
Idaho,73
Illinois,76
Indiana,81
Iowa,66
Kansas,76
Kentucky,82
Louisiana,75
Maine,72
Maryland,87
Massachusetts,84
Michigan,79
Minnesota,63
Mississippi,82
Missouri,73
Montana,89
Nebraska,74
Nevada,71
New Hampshire,73
New Jersey,89
New Mexico,79
New York,85
North Carolina,81
North Dakota,91
Ohio,86
Oklahoma,81
Oregon,85
Pennsylvania,84
Rhode Island,100
South Carolina,73
South Dakota,87
Tennessee,78
Texas,77
Utah,74
Vermont,99
Virginia,82
Washington,69
West Virginia,89
Wisconsin,76
Wyoming,80
