geoName,tragedy
Alabama,84
Alaska,80
Arizona,74
Arkansas,85
California,80
Colorado,74
Connecticut,97
Delaware,79
District of Columbia,90
Florida,74
Georgia,80
Hawaii,86
Idaho,74
Illinois,75
Indiana,93
Iowa,69
Kansas,82
Kentucky,85
Louisiana,84
Maine,76
Maryland,94
Massachusetts,100
Michigan,84
Minnesota,72
Mississippi,70
Missouri,70
Montana,55
Nebraska,71
Nevada,81
New Hampshire,84
New Jersey,91
New Mexico,64
New York,90
North Carolina,82
North Dakota,70
Ohio,80
Oklahoma,78
Oregon,54
Pennsylvania,92
Rhode Island,89
South Carolina,76
South Dakota,79
Tennessee,75
Texas,77
Utah,72
Vermont,93
Virginia,80
Washington,71
West Virginia,74
Wisconsin,74
Wyoming,77
