geoName,tragedy
Alabama,84
Alaska,67
Arizona,75
Arkansas,83
California,78
Colorado,74
Connecticut,100
Delaware,71
District of Columbia,69
Florida,72
Georgia,77
Hawaii,75
Idaho,77
Illinois,72
Indiana,92
Iowa,72
Kansas,75
Kentucky,86
Louisiana,81
Maine,79
Maryland,80
Massachusetts,85
Michigan,81
Minnesota,71
Mississippi,82
Missouri,71
Montana,72
Nebraska,56
Nevada,78
New Hampshire,83
New Jersey,87
New Mexico,87
New York,78
North Carolina,81
North Dakota,68
Ohio,83
Oklahoma,71
Oregon,43
Pennsylvania,76
Rhode Island,94
South Carolina,78
South Dakota,67
Tennessee,71
Texas,80
Utah,70
Vermont,80
Virginia,70
Washington,70
West Virginia,71
Wisconsin,70
Wyoming,87
