date,tragedy,isPartial
2013-01-06,30,False
2013-01-13,30,False
2013-01-20,26,False
2013-01-27,33,False
2013-02-03,29,False
2013-02-10,32,False
2013-02-17,28,False
2013-02-24,29,False
2013-03-03,28,False
2013-03-10,30,False
2013-03-17,31,False
2013-03-24,25,False
2013-03-31,25,False
2013-04-07,30,False
2013-04-14,100,False
2013-04-21,38,False
2013-04-28,34,False
2013-05-05,36,False
2013-05-12,35,False
2013-05-19,40,False
2013-05-26,29,False
2013-06-02,27,False
2013-06-09,28,False
2013-06-16,23,False
2013-06-23,26,False
2013-06-30,33,False
2013-07-07,26,False
2013-07-14,32,False
2013-07-21,29,False
2013-07-28,24,False
2013-08-04,27,False
2013-08-11,27,False
2013-08-18,24,False
2013-08-25,27,False
2013-09-01,28,False
2013-09-08,33,False
2013-09-15,37,False
2013-09-22,29,False
2013-09-29,30,False
2013-10-06,32,False
2013-10-13,28,False
2013-10-20,25,False
2013-10-27,31,False
2013-11-03,30,False
2013-11-10,31,False
2013-11-17,31,False
2013-11-24,21,False
2013-12-01,30,False
2013-12-08,31,False
2013-12-15,28,False
2013-12-22,17,False
2013-12-29,17,False
