geoName,tragedy
Alabama,76
Alaska,69
Arizona,74
Arkansas,73
California,67
Colorado,69
Connecticut,86
Delaware,86
District of Columbia,61
Florida,69
Georgia,64
Hawaii,60
Idaho,79
Illinois,75
Indiana,87
Iowa,74
Kansas,75
Kentucky,77
Louisiana,77
Maine,78
Maryland,78
Massachusetts,70
Michigan,79
Minnesota,69
Mississippi,68
Missouri,66
Montana,100
Nebraska,62
Nevada,78
New Hampshire,71
New Jersey,87
New Mexico,78
New York,76
North Carolina,67
North Dakota,71
Ohio,77
Oklahoma,70
Oregon,70
Pennsylvania,84
Rhode Island,70
South Carolina,74
South Dakota,99
Tennessee,78
Texas,66
Utah,66
Vermont,83
Virginia,87
Washington,60
West Virginia,92
Wisconsin,75
Wyoming,72
