date,tragedy,isPartial
2014-01-05,68,False
2014-01-12,68,False
2014-01-19,65,False
2014-01-26,69,False
2014-02-02,76,False
2014-02-09,66,False
2014-02-16,76,False
2014-02-23,70,False
2014-03-02,63,False
2014-03-09,94,False
2014-03-16,78,False
2014-03-23,72,False
2014-03-30,79,False
2014-04-06,79,False
2014-04-13,100,False
2014-04-20,84,False
2014-04-27,82,False
2014-05-04,84,False
2014-05-11,84,False
2014-05-18,68,False
2014-05-25,65,False
2014-06-01,65,False
2014-06-08,79,False
2014-06-15,57,False
2014-06-22,49,False
2014-06-29,49,False
2014-07-06,71,False
2014-07-13,72,False
2014-07-20,54,False
2014-07-27,51,False
2014-08-03,48,False
2014-08-10,70,False
2014-08-17,74,False
2014-08-24,66,False
2014-08-31,59,False
2014-09-07,74,False
2014-09-14,67,False
2014-09-21,62,False
2014-09-28,62,False
2014-10-05,64,False
2014-10-12,63,False
2014-10-19,74,False
2014-10-26,73,False
2014-11-02,68,False
2014-11-09,72,False
2014-11-16,68,False
2014-11-23,77,False
2014-11-30,79,False
2014-12-07,80,False
2014-12-14,80,False
2014-12-21,43,False
2014-12-28,45,False
