geoName,tragedy
Alabama,79
Alaska,82
Arizona,83
Arkansas,76
California,83
Colorado,81
Connecticut,100
Delaware,85
District of Columbia,73
Florida,84
Georgia,88
Hawaii,71
Idaho,92
Illinois,75
Indiana,82
Iowa,85
Kansas,81
Kentucky,75
Louisiana,82
Maine,95
Maryland,81
Massachusetts,93
Michigan,88
Minnesota,71
Mississippi,100
Missouri,71
Montana,58
Nebraska,77
Nevada,72
New Hampshire,85
New Jersey,90
New Mexico,81
New York,83
North Carolina,77
North Dakota,72
Ohio,81
Oklahoma,84
Oregon,75
Pennsylvania,94
Rhode Island,97
South Carolina,88
South Dakota,73
Tennessee,85
Texas,81
Utah,75
Vermont,91
Virginia,86
Washington,71
West Virginia,70
Wisconsin,81
Wyoming,84
