date,tragedy,isPartial
2011-01-02,36,False
2011-01-09,100,False
2011-01-16,49,False
2011-01-23,42,False
2011-01-30,39,False
2011-02-06,45,False
2011-02-13,44,False
2011-02-20,42,False
2011-02-27,46,False
2011-03-06,63,False
2011-03-13,57,False
2011-03-20,46,False
2011-03-27,58,False
2011-04-03,89,False
2011-04-10,65,False
2011-04-17,54,False
2011-04-24,52,False
2011-05-01,50,False
2011-05-08,55,False
2011-05-15,50,False
2011-05-22,45,False
2011-05-29,46,False
2011-06-05,36,False
2011-06-12,31,False
2011-06-19,39,False
2011-06-26,31,False
2011-07-03,44,False
2011-07-10,39,False
2011-07-17,54,False
2011-07-24,53,False
2011-07-31,34,False
2011-08-07,31,False
2011-08-14,59,False
2011-08-21,39,False
2011-08-28,36,False
2011-09-04,54,False
2011-09-11,57,False
2011-09-18,44,False
2011-09-25,48,False
2011-10-02,45,False
2011-10-09,43,False
2011-10-16,46,False
2011-10-23,45,False
2011-10-30,47,False
2011-11-06,47,False
2011-11-13,54,False
2011-11-20,37,False
2011-11-27,49,False
2011-12-04,50,False
2011-12-11,48,False
2011-12-18,29,False
2011-12-25,28,False
