date,tragedy,isPartial
2012-01-01,26,False
2012-01-08,26,False
2012-01-15,27,False
2012-01-22,26,False
2012-01-29,36,False
2012-02-05,38,False
2012-02-12,31,False
2012-02-19,25,False
2012-02-26,31,False
2012-03-04,26,False
2012-03-11,25,False
2012-03-18,34,False
2012-03-25,26,False
2012-04-01,22,False
2012-04-08,26,False
2012-04-15,28,False
2012-04-22,25,False
2012-04-29,31,False
2012-05-06,28,False
2012-05-13,25,False
2012-05-20,31,False
2012-05-27,21,False
2012-06-03,22,False
2012-06-10,20,False
2012-06-17,17,False
2012-06-24,15,False
2012-07-01,23,False
2012-07-08,18,False
2012-07-15,50,False
2012-07-22,38,False
2012-07-29,20,False
2012-08-05,22,False
2012-08-12,20,False
2012-08-19,21,False
2012-08-26,22,False
2012-09-02,23,False
2012-09-09,32,False
2012-09-16,24,False
2012-09-23,25,False
2012-09-30,25,False
2012-10-07,25,False
2012-10-14,22,False
2012-10-21,26,False
2012-10-28,27,False
2012-11-04,27,False
2012-11-11,28,False
2012-11-18,24,False
2012-11-25,31,False
2012-12-02,48,False
2012-12-09,100,False
2012-12-16,72,False
2012-12-23,23,False
2012-12-30,22,False
