date,tragedy,isPartial
2016-01-03,38,False
2016-01-10,43,False
2016-01-17,41,False
2016-01-24,49,False
2016-01-31,50,False
2016-02-07,49,False
2016-02-14,50,False
2016-02-21,50,False
2016-02-28,54,False
2016-03-06,43,False
2016-03-13,45,False
2016-03-20,43,False
2016-03-27,45,False
2016-04-03,48,False
2016-04-10,49,False
2016-04-17,52,False
2016-04-24,56,False
2016-05-01,50,False
2016-05-08,47,False
2016-05-15,48,False
2016-05-22,42,False
2016-05-29,40,False
2016-06-05,40,False
2016-06-12,100,False
2016-06-19,38,False
2016-06-26,31,False
2016-07-03,39,False
2016-07-10,51,False
2016-07-17,31,False
2016-07-24,37,False
2016-07-31,32,False
2016-08-07,33,False
2016-08-14,31,False
2016-08-21,35,False
2016-08-28,41,False
2016-09-04,42,False
2016-09-11,49,False
2016-09-18,42,False
2016-09-25,47,False
2016-10-02,37,False
2016-10-09,42,False
2016-10-16,44,False
2016-10-23,45,False
2016-10-30,43,False
2016-11-06,51,False
2016-11-13,43,False
2016-11-20,36,False
2016-11-27,56,False
2016-12-04,53,False
2016-12-11,50,False
2016-12-18,35,False
2016-12-25,23,False
