date,gloomy,isPartial
2014-01-05,33,False
2014-01-12,32,False
2014-01-19,30,False
2014-01-26,37,False
2014-02-02,40,False
2014-02-09,28,False
2014-02-16,33,False
2014-02-23,35,False
2014-03-02,26,False
2014-03-09,100,False
2014-03-16,47,False
2014-03-23,39,False
2014-03-30,34,False
2014-04-06,41,False
2014-04-13,34,False
2014-04-20,33,False
2014-04-27,26,False
2014-05-04,26,False
2014-05-11,36,False
2014-05-18,42,False
2014-05-25,38,False
2014-06-01,36,False
2014-06-08,36,False
2014-06-15,43,False
2014-06-22,32,False
2014-06-29,27,False
2014-07-06,34,False
2014-07-13,34,False
2014-07-20,30,False
2014-07-27,22,False
2014-08-03,26,False
2014-08-10,23,False
2014-08-17,26,False
2014-08-24,36,False
2014-08-31,36,False
2014-09-07,44,False
2014-09-14,38,False
2014-09-21,35,False
2014-09-28,40,False
2014-10-05,44,False
2014-10-12,52,False
2014-10-19,42,False
2014-10-26,41,False
2014-11-02,50,False
2014-11-09,32,False
2014-11-16,39,False
2014-11-23,34,False
2014-11-30,39,False
2014-12-07,43,False
2014-12-14,28,False
2014-12-21,31,False
2014-12-28,21,False
